"agelow","agehigh","emot1-value","emot1-cofindence","emot2-value","emot2-cofindence","gender","gender-cofindence","smile","smile-cofindence","eyeglasses","eyeglasses-cofindence","beard","beard-cofindence","mustache","mustache-cofindence","uploadtime"
"7","17","CALM","54.0758","SURPRISED","34.645374","Female","99.84502","false","98.286125","false","99.786644","false","99.84541320800781","false","99.9144","2021-11-30 14:32:11.684"
"42","50","CALM","49.642952","HAPPY","17.10412","Male","99.998436","false","79.00343","false","90.91471","false","89.6952133178711","false","96.518936","2022-03-04 14:25:09.609"
"16","24","HAPPY","99.87375","FEAR","0.03773801","Male","98.31473","true","98.76664","false","99.76915","false","96.58685302734375","false","99.20096","2022-02-16 09:17:21.989"
"21","33","CALM","91.05117","SAD","5.1164923","Female","98.45558","false","94.91332","true","95.43292","false","99.20943450927734","false","99.69142","2021-11-28 14:29:30.126"
"20","28","HAPPY","97.36226","CONFUSED","1.4096296","Female","99.97598","true","95.89289","false","96.56429","false","97.33125305175781","false","99.11162","2022-03-04 14:23:32.419"
"24","38","CALM","90.170654","SURPRISED","4.9564695","Male","87.68925","false","98.61601","false","99.79023","false","94.94731903076172","false","99.42823","2021-11-30 14:32:11.684"
"13","21","SAD","48.4774","CALM","17.005531","Female","99.814095","false","85.859314","false","52.41587","false","81.79949188232422","false","93.71089","2022-03-04 14:29:14.348"
"34","50","CALM","61.579628","HAPPY","23.920265","Male","94.491356","false","64.63975","false","91.241516","false","70.97722625732422","false","93.15629","2021-11-28 13:41:12.973"
"15","27","HAPPY","98.222206","DISGUSTED","0.82159376","Female","99.72005","true","98.735504","true","97.67798","false","99.69093322753906","false","99.86224","2021-11-29 13:13:54.281"
"12","20","FEAR","97.18243","CONFUSED","0.65047336","Female","70.33962","false","79.55046","true","73.512","false","83.10403442382812","false","92.02559","2022-03-04 14:29:14.348"
"13","23","CALM","96.202965","HAPPY","1.3332177","Female","94.488014","false","96.67482","false","99.32034","false","98.04768371582031","false","99.51072","2021-11-28 13:44:54.381"
"12","22","CALM","93.70787","SAD","2.1335318","Female","97.242455","false","98.69621","false","99.243454","false","96.58634948730469","false","99.21441","2021-11-29 13:13:20.910"
"13","23","CALM","56.480526","HAPPY","27.968052","Male","98.09708","false","67.07847","true","98.86369","false","94.2558364868164","false","98.78196","2021-11-28 13:31:54.584"
"47","65","CALM","63.90664","CONFUSED","27.444557","Male","99.22933","false","97.90032","false","99.029274","false","79.32209014892578","false","96.590004","2021-11-28 14:18:04.240"
"17","29","SAD","98.84016","CALM","0.95069015","Male","85.09869","false","99.184555","false","95.58228","false","82.44161987304688","false","97.90103","2021-11-28 14:17:00.115"
"16","28","HAPPY","76.96567","CALM","8.529611","Male","99.55387","true","67.4694","true","68.86024","false","81.98548889160156","false","97.93162","2021-11-28 13:31:54.584"
"20","32","CALM","64.1943","SAD","28.236967","Female","70.30848","false","97.394745","false","64.82146","false","82.96194458007812","false","95.81845","2021-12-28 15:40:01.409"
"25","39","CALM","41.556976","SAD","28.420712","Female","69.945","false","88.70518","false","92.851074","false","90.44273376464844","false","97.56668","2021-11-28 13:41:12.973"
"22","34","SAD","56.170593","CONFUSED","39.554916","Female","65.285614","false","99.38678","false","95.87586","false","88.98941040039062","false","98.10081","2021-11-28 14:17:16.587"
"29","45","CALM","68.819214","SAD","13.187106","Female","79.85735","false","95.734634","false","88.19911","false","83.20081329345703","false","95.92077","2021-11-28 14:18:53.467"
"23","35","SAD","46.088806","CALM","31.70672","Male","96.135216","false","87.29307","false","94.90181","false","69.13030242919922","false","92.9156","2021-11-28 13:41:12.973"
"15","27","HAPPY","51.965366","CALM","44.547092","Female","98.17309","false","53.158688","true","92.32177","false","98.87809753417969","false","99.532","2021-11-28 14:18:34.232"
"9","19","HAPPY","94.82649","CALM","1.5059363","Male","51.98132","true","82.65926","false","98.985664","false","92.90469360351562","false","99.130424","2021-11-28 14:18:36.448"
"12","22","SAD","66.72162","FEAR","12.209188","Female","94.54183","false","83.35324","false","81.95249","false","96.1765365600586","false","98.73174","2021-11-28 13:42:32.203"
"34","50","CALM","77.26879","SAD","12.510124","Female","70.118835","false","91.51681","false","98.42487","false","88.72032928466797","false","97.35752","2021-11-28 14:18:04.240"
"14","26","HAPPY","98.01838","SURPRISED","0.7441709","Male","82.608185","true","91.26027","false","99.21632","false","80.97518920898438","false","97.513695","2021-11-30 14:32:05.963"
"7","17","SAD","90.22402","CALM","9.199805","Female","95.29201","false","97.346535","false","99.168434","false","97.17540740966797","false","99.51626","2021-11-30 17:54:25.597"
"12","22","HAPPY","87.87094","CALM","5.8932014","Male","95.55491","true","81.26175","false","50.835323","false","88.01294708251953","false","97.65598","2021-11-28 13:28:59.483"
"14","26","CALM","61.027878","SAD","32.075195","Female","68.01465","false","98.00472","false","99.05707","false","92.97393035888672","false","98.51721","2021-11-28 13:27:44.122"
"5","15","SURPRISED","71.49146","CALM","21.435032","Female","91.81544","false","96.729324","false","99.51541","false","97.78738403320312","false","99.60613","2021-11-30 14:32:11.684"
"6","12","SAD","99.745544","CALM","0.124010965","Male","99.85211","false","91.23739","false","89.37937","false","82.54256439208984","false","95.38657","2022-03-04 14:25:09.609"
"12","22","HAPPY","94.29739","SAD","1.262167","Male","98.72888","true","85.08177","true","82.52861","false","80.5050277709961","false","97.40741","2021-11-28 13:45:03.302"
"17","29","CALM","93.21319","SAD","3.7098494","Female","96.12249","false","97.02036","false","99.2698","false","98.65929412841797","false","99.68081","2021-11-28 13:45:18.223"
"12","22","HAPPY","73.254166","CALM","19.231007","Female","98.82198","true","70.092094","false","98.27454","false","99.14227294921875","false","99.82088","2021-11-30 14:32:11.684"
"12","22","HAPPY","99.81956","CALM","0.13715513","Female","95.45671","true","97.76479","false","73.01345","false","97.83029174804688","false","99.39992","2021-11-28 14:18:34.232"
"31","47","CALM","83.37671","CONFUSED","5.753096","Male","98.9468","false","99.25979","false","99.67917","false","75.70125579833984","false","98.07289","2021-11-28 14:19:06.831"
"3","9","ANGRY","51.89728","SAD","17.23902","Female","77.902954","false","81.46512","false","93.55743","false","88.43229675292969","false","95.43085","2021-11-28 14:17:30.605"
"11","19","FEAR","37.51925","SURPRISED","25.657867","Female","62.158615","false","87.726295","false","88.3002","false","83.3022232055664","false","92.30382","2022-03-04 14:21:58.355"
"12","22","CALM","37.883625","CONFUSED","24.500935","Female","99.740685","false","98.05738","false","98.76409","false","99.58906555175781","false","99.75154","2021-11-29 13:13:20.910"
"22","34","DISGUSTED","58.67942","SURPRISED","30.128765","Female","98.61941","false","82.39347","false","99.55176","false","98.7604751586914","false","99.72312","2021-11-28 13:44:37.158"
"13","23","HAPPY","92.31841","ANGRY","3.193314","Male","50.13286","true","82.01298","false","69.823784","false","81.50579071044922","false","94.881645","2021-11-28 13:41:12.973"
"23","35","HAPPY","99.819725","SURPRISED","0.08645014","Female","99.29646","true","99.7331","true","99.60209","false","99.27840423583984","false","99.73627","2021-11-30 14:33:45.957"
"22","30","HAPPY","97.628555","DISGUSTED","1.3838792","Male","98.953285","true","86.208466","true","83.01761","false","77.86529541015625","false","94.51922","2022-04-12 13:49:53.106"
"16","22","HAPPY","94.41937","DISGUSTED","1.9626359","Female","99.99971","true","83.72","true","99.2171","false","94.17316436767578","false","97.727066","2022-04-12 13:48:27.968"
"14","22","SAD","95.56768","CALM","1.5696906","Female","78.25283","false","84.11966","false","83.64732","false","84.44283294677734","false","93.12042","2022-04-12 09:46:26.673"
"23","37","HAPPY","98.48937","SURPRISED","0.52300406","Female","98.879005","true","99.673645","false","99.20078","false","99.35688781738281","false","99.821144","2021-11-30 14:32:11.684"
"11","21","CALM","91.37814","HAPPY","3.0187573","Male","96.24055","false","94.124664","false","98.648926","false","95.10807037353516","false","99.360886","2021-11-30 14:32:11.684"
"14","22","SAD","43.449413","CALM","25.221031","Female","99.739235","false","73.05188","false","97.49019","false","88.81280517578125","false","96.22276","2022-03-04 14:29:14.348"
"12","22","CALM","90.06594","SAD","8.163018","Female","99.015175","false","99.113045","false","96.63906","false","99.46775817871094","false","99.86265","2021-11-30 14:32:11.684"
"20","32","HAPPY","99.861206","DISGUSTED","0.045075208","Female","99.93978","true","99.81917","true","98.05391","false","99.73172760009766","false","99.87118","2021-11-28 14:18:03.594"
"4","12","HAPPY","98.87097","SAD","0.9510941","Female","99.863495","true","97.3085","false","98.93158","false","99.68888092041016","false","99.943756","2021-11-28 14:16:01.839"
"15","27","HAPPY","93.63606","SURPRISED","2.6039762","Female","99.946205","true","91.73742","false","99.671974","false","99.8231201171875","false","99.89015","2021-11-28 13:45:25.341"
"18","24","CALM","52.68076","CONFUSED","35.56879","Male","99.92423","false","97.161606","true","65.80173","false","76.15229034423828","false","91.51578","2022-04-01 15:53:56.491"
"13","23","CALM","85.41149","CONFUSED","4.057179","Male","91.898346","false","96.97491","true","99.481285","false","96.07014465332031","false","98.6862","2021-11-28 14:13:26.960"
"13","23","CALM","76.20608","CONFUSED","13.667851","Male","98.960045","false","98.54633","false","69.332466","false","69.6911849975586","false","93.02372","2021-11-28 14:18:34.232"
"13","25","CALM","74.94792","SAD","20.547573","Female","91.52046","false","99.14751","false","98.46827","false","97.72916412353516","false","99.4137","2021-11-30 14:32:11.684"
"37","45","SURPRISED","78.41756","FEAR","19.429365","Female","99.99743","false","90.48373","false","95.72396","false","91.32757568359375","false","97.760445","2022-05-13 13:54:58.818"
"24","38","CALM","51.4315","ANGRY","14.703252","Male","98.58958","false","84.81055","false","99.201164","false","61.995609283447266","false","93.72523","2021-11-28 14:19:06.831"
"25","39","CALM","54.24682","SAD","39.960167","Male","76.72875","false","98.095474","false","93.29449","false","80.20928192138672","false","97.05196","2021-11-28 13:45:25.341"
"16","28","HAPPY","49.934074","SURPRISED","21.597975","Female","66.04035","true","73.02983","false","98.56824","false","90.0704116821289","false","98.056526","2021-11-28 13:44:37.158"
"28","44","CALM","40.709743","ANGRY","29.279371","Male","98.97332","false","98.28996","false","50.692223","true","50.49000549316406","false","90.24364","2021-11-28 13:45:18.223"
"12","22","CALM","48.895084","SAD","24.740814","Female","55.40191","false","98.201385","true","97.09769","false","87.56089782714844","false","96.391014","2021-11-28 13:45:18.223"
"20","32","FEAR","89.39665","SAD","7.241139","Female","74.78446","false","65.82063","false","92.65969","false","89.49846649169922","false","98.40681","2021-11-28 14:22:45.713"
"18","30","CALM","97.81399","SAD","0.70627785","Male","98.642075","false","98.33875","false","99.81455","false","92.39741516113281","false","99.42744","2021-11-30 14:32:11.684"
"32","48","HAPPY","99.49433","DISGUSTED","0.15356033","Male","99.49837","true","99.36911","false","99.28198","true","79.14363098144531","false","93.030045","2021-12-28 15:40:17.515"
"22","34","CALM","85.332504","CONFUSED","6.299451","Male","99.836784","false","98.26024","true","97.291855","false","89.33428192138672","false","98.92217","2021-11-28 14:16:01.839"
"12","22","CALM","67.79001","HAPPY","12.695484","Male","98.21334","false","81.512405","false","89.83876","false","88.16011047363281","false","97.41623","2021-11-28 13:47:56.277"
"32","48","SAD","60.304623","CALM","21.29145","Female","81.30069","false","95.418396","false","81.40669","false","87.13688659667969","false","96.83025","2021-11-28 14:17:16.587"
"18","30","HAPPY","99.54972","FEAR","0.17716861","Female","99.84521","true","99.39243","false","99.447784","false","99.69520568847656","false","99.89624","2021-11-28 14:13:26.960"
"11","19","SAD","96.695564","DISGUSTED","1.264447","Female","96.26693","false","74.21871","false","78.37577","false","85.373779296875","false","95.15438","2022-03-04 14:21:58.355"
"17","29","CALM","70.16516","HAPPY","26.05164","Female","99.02288","false","71.07478","false","99.16373","false","99.29735565185547","false","99.79033","2021-11-30 14:32:11.684"
"18","30","FEAR","50.235992","ANGRY","16.949081","Male","67.82757","false","73.42375","false","96.81008","false","74.84685516357422","false","94.39878","2021-11-28 14:22:07.110"
"6","16","SAD","85.66299","CALM","10.905347","Male","84.02943","false","94.92684","false","69.80372","false","52.755165100097656","false","88.676285","2021-12-28 15:40:01.409"
"31","47","SAD","74.29159","FEAR","13.80868","Female","72.81019","false","97.946144","false","96.40256","false","89.83577728271484","false","98.36352","2021-12-28 15:40:01.409"
"16","28","FEAR","65.60025","CALM","18.66999","Male","84.66209","false","90.938805","true","93.153206","false","86.33737182617188","false","97.304184","2021-11-28 13:44:06.713"
"13","23","SAD","30.73375","HAPPY","17.284533","Female","98.16654","false","71.425865","false","93.07405","false","98.06295013427734","false","99.17218","2021-11-28 13:45:25.341"
"18","26","HAPPY","99.1031","CALM","0.43954346","Female","76.5226","true","87.73291","false","99.651","false","96.8416519165039","false","99.25377","2022-02-16 09:17:21.989"
"12","22","SAD","92.72413","CALM","5.5390944","Male","98.9831","false","97.927635","true","63.928776","false","73.7651138305664","false","95.98871","2021-11-28 13:47:56.277"
"24","34","CALM","99.90122","ANGRY","0.035051156","Male","96.25534","false","99.73281","false","99.2406","false","95.532470703125","false","98.77779","2022-02-14 17:38:17.907"
"22","34","CALM","74.19245","SAD","13.655877","Female","97.983574","false","95.33829","true","97.58861","false","98.24034118652344","false","99.444595","2021-11-28 13:50:21.270"
"13","23","HAPPY","90.82192","CONFUSED","4.765525","Female","98.44052","true","98.83422","false","91.43492","false","98.60372924804688","false","99.527275","2021-11-30 14:32:11.684"
"19","31","SAD","58.21313","CALM","33.332558","Female","84.4277","false","92.52926","false","92.170334","false","94.70537567138672","false","98.47978","2021-11-28 14:18:36.448"
"36","44","CALM","93.30052","HAPPY","4.821693","Female","97.78009","false","75.6757","true","95.067696","false","91.68999481201172","false","97.51103","2022-01-31 18:50:08.104"
"22","34","HAPPY","76.25672","CALM","16.48736","Female","55.549286","true","62.521126","true","73.8164","false","78.57972717285156","false","95.65493","2021-11-28 14:12:57.432"
"14","26","CALM","84.33071","SAD","9.536438","Male","57.23918","false","98.664795","true","57.819897","false","78.27517700195312","false","97.019455","2021-12-28 15:40:01.409"
"10","20","CALM","93.24214","SAD","2.5508237","Male","84.78992","false","97.78375","false","59.775543","false","81.12789154052734","false","95.44099","2021-11-28 14:17:37.323"
"21","33","CALM","73.44912","CONFUSED","13.292566","Female","99.999306","false","97.10387","true","99.39536","false","99.98562622070312","false","99.97207","2021-11-28 14:20:55.952"
"16","28","CALM","90.61622","SAD","4.166847","Female","98.33959","false","97.70561","false","97.202","false","98.95549774169922","false","99.636765","2021-11-30 14:32:11.684"
"19","31","HAPPY","99.447075","CALM","0.2292636","Male","99.46757","true","96.93035","true","99.45011","false","90.40457916259766","false","99.0076","2021-11-28 13:30:56.422"
"13","21","SAD","44.729336","CONFUSED","18.487814","Male","99.91293","false","88.52663","false","99.43259","false","86.21737670898438","false","96.85443","2022-01-31 18:50:08.104"
"12","22","HAPPY","69.494995","CALM","21.663013","Male","79.13631","false","56.292004","true","75.2755","false","89.90050506591797","false","97.89632","2021-11-28 14:17:37.323"
"12","22","CALM","93.356064","SAD","3.152727","Male","89.16338","false","98.77204","false","93.854","false","85.9544906616211","false","97.91587","2021-11-30 14:32:11.684"
"13","21","FEAR","63.14","SAD","34.40776","Female","99.95543","false","91.72227","true","99.995705","false","85.6609115600586","false","97.00008","2022-05-13 13:54:28.534"
"18","30","SAD","87.713486","CALM","8.605562","Male","91.87094","false","94.32506","false","91.511635","false","73.77490234375","false","95.384514","2021-11-28 14:17:16.587"
"16","28","SAD","68.29756","ANGRY","11.217365","Male","97.834015","false","80.46769","false","98.431435","false","55.3927116394043","false","92.38542","2021-11-28 14:17:30.605"
"9","19","CALM","77.33413","SAD","15.1587515","Male","97.04716","false","98.87333","false","97.722664","false","84.21678161621094","false","97.49558","2021-11-28 14:17:00.115"
"10","20","CALM","68.19304","CONFUSED","16.829151","Female","89.93147","false","95.75443","false","96.04677","false","93.77278137207031","false","98.846146","2021-11-28 13:28:27.635"
"33","49","HAPPY","99.270744","SURPRISED","0.53480685","Male","99.883514","true","98.86102","true","90.75496","false","86.61055755615234","false","98.95746","2021-11-28 14:18:03.594"
"34","50","FEAR","67.09674","SAD","27.917889","Female","87.07917","false","83.26662","false","98.59463","false","91.51321411132812","false","97.72212","2021-11-28 14:17:30.605"
"12","22","CALM","92.30517","SAD","2.340605","Female","95.974525","false","97.511314","true","99.08841","false","98.51968383789062","false","99.316475","2021-11-28 13:45:03.302"
"17","29","SAD","57.38004","CALM","27.576817","Male","60.24211","false","95.35903","false","51.291824","false","79.06101989746094","false","94.01453","2021-11-28 14:16:30.231"
"13","21","SAD","71.87287","FEAR","10.673153","Male","99.977394","false","94.45287","false","52.53277","false","80.7305908203125","false","93.90418","2022-03-04 14:25:09.609"
"12","20","FEAR","39.238605","SAD","24.310286","Male","98.825264","false","76.50946","false","62.571503","false","81.75605010986328","false","93.351105","2022-03-04 14:21:58.355"
"14","22","SAD","99.403076","FEAR","0.21513213","Male","79.09124","false","88.51651","false","93.734604","false","78.3732681274414","false","92.28501","2022-01-24 16:52:59.200"
"12","20","SURPRISED","89.01757","CALM","5.279707","Male","99.927864","false","92.92465","true","84.68076","false","82.02900695800781","false","94.07587","2022-03-04 14:21:58.355"
"13","23","CALM","79.913956","HAPPY","14.502091","Male","95.01586","false","82.407036","true","57.806442","false","80.77909851074219","false","96.515625","2021-11-28 14:18:34.232"
"5","15","CALM","99.83885","HAPPY","0.09195002","Male","89.07998","false","99.10091","false","87.10267","false","82.06369018554688","false","97.66816","2021-11-28 14:17:37.323"
"7","17","SAD","47.39402","CALM","43.77325","Female","73.8148","false","89.38534","true","57.03003","false","81.93501281738281","false","92.78291","2022-04-01 15:53:56.491"
"14","26","CALM","86.50062","SAD","3.98101","Female","98.009636","false","95.07678","true","95.83575","false","98.89000701904297","false","99.67536","2021-11-28 14:29:30.126"
"23","33","CALM","67.75887","SAD","12.217761","Female","99.968704","false","91.695984","false","97.586426","false","86.30997467041016","false","94.90958","2022-03-04 14:21:58.355"
"12","22","SAD","92.37996","FEAR","3.5420623","Female","96.51214","false","91.48807","false","94.88789","false","96.75858306884766","false","99.021935","2021-11-28 14:29:30.126"
"45","63","CALM","52.90382","FEAR","11.614698","Male","92.3214","false","91.17284","false","99.387375","false","87.57476043701172","false","96.77738","2021-11-28 14:18:04.240"
"13","23","FEAR","51.908367","SAD","34.59567","Female","51.96196","false","67.41657","false","98.95903","false","90.97415924072266","false","98.954926","2021-11-28 13:44:54.381"
"36","54","SAD","92.91094","FEAR","3.710787","Female","68.214226","false","81.7364","false","96.238716","false","84.70722198486328","false","97.11597","2021-11-28 13:41:12.973"
"19","31","CALM","87.20397","SAD","6.7560563","Male","80.33664","false","96.81227","true","99.36237","false","93.35472106933594","false","98.76822","2021-11-30 14:34:45.770"
"21","33","SAD","98.00329","CALM","0.8950803","Female","76.596436","false","93.234886","false","97.14065","false","88.55658721923828","false","96.99566","2021-11-28 14:18:04.240"
"12","22","CALM","98.76026","CONFUSED","0.450641","Male","98.58667","false","99.42286","false","99.89726","false","85.80270385742188","false","98.53613","2021-11-30 14:32:11.684"
"29","39","HAPPY","99.88015","SURPRISED","0.03579882","Male","99.86622","true","95.54736","false","99.549416","false","89.37361145019531","false","97.84484","2022-04-01 15:53:49.785"
"20","28","HAPPY","98.29063","SURPRISED","0.8638096","Female","93.64812","true","78.91537","true","87.590775","false","91.35458374023438","false","98.34986","2022-04-12 13:49:53.106"
"19","31","CALM","42.901546","FEAR","30.18492","Male","96.68115","false","93.59703","true","63.13628","false","63.1643180847168","false","93.02538","2021-11-28 13:45:18.223"
"31","47","SAD","78.23739","CALM","18.582539","Male","97.05692","false","98.747536","false","60.058224","false","70.58305358886719","false","96.321014","2021-11-28 14:14:27.689"
"31","41","CALM","93.790184","SAD","3.7991173","Male","99.98116","false","97.84761","true","97.7996","false","72.14485168457031","false","89.85795","2022-04-12 13:47:41.270"
"22","34","HAPPY","99.83387","CALM","0.052488893","Female","99.453674","true","99.86082","false","99.87899","false","99.51471710205078","false","99.885","2021-11-30 14:32:11.684"
"31","47","SAD","53.368217","SURPRISED","26.91569","Female","97.610794","false","91.76619","false","93.70996","false","97.8406982421875","false","99.4166","2021-11-28 14:17:30.605"
"9","19","CALM","90.44807","ANGRY","4.2720976","Female","64.64682","false","95.2553","false","97.31508","false","89.35990142822266","false","97.36948","2021-11-28 13:41:12.973"
"6","16","ANGRY","39.07293","SAD","29.887018","Male","97.831154","false","96.18555","false","52.296997","false","58.464630126953125","false","89.33048","2021-11-28 13:44:54.381"
"15","27","HAPPY","95.71681","DISGUSTED","1.1397687","Female","99.28042","true","97.29224","false","98.37312","false","99.24024200439453","false","99.7414","2021-11-30 14:32:11.684"
"14","26","FEAR","89.18153","SURPRISED","8.009515","Female","99.07943","false","63.910717","false","96.31985","false","98.61817169189453","false","99.644775","2021-11-28 13:42:32.203"
"21","33","CALM","87.019905","SAD","11.516652","Female","98.59125","false","99.33165","false","98.90721","false","98.99822998046875","false","99.67659","2021-11-28 13:44:54.381"
"12","22","CALM","97.82643","SAD","0.7870071","Male","99.212135","false","97.62648","true","82.020836","false","80.51850891113281","false","96.385544","2021-11-28 14:29:30.126"
"9","19","HAPPY","86.98479","SURPRISED","7.9461327","Female","99.578064","false","50.551903","false","99.70464","false","99.3714370727539","false","99.84938","2021-11-28 13:28:48.670"
"13","23","CALM","81.816536","CONFUSED","12.639731","Male","99.6129","false","98.620316","false","98.57346","false","72.8372573852539","false","97.60079","2021-11-28 14:19:50.685"
"22","34","CALM","98.737564","SURPRISED","0.31293157","Male","99.01196","false","98.39934","true","99.314514","false","88.06778717041016","false","97.35384","2021-11-28 13:07:36.857"
"23","33","HAPPY","98.51801","SURPRISED","6.2990203","Female","99.98353","true","96.1847","false","97.630875","false","95.6058578491211","false","98.47092","2022-05-13 13:55:39.808"
"22","30","CALM","64.946976","SAD","18.060112","Female","99.83359","false","91.70389","true","99.99995","false","60.27809524536133","false","93.57447","2022-05-13 13:55:12.270"
"18","30","CALM","90.20943","HAPPY","4.7939696","Female","89.42192","false","85.650024","false","99.08781","false","97.05387115478516","false","99.539986","2021-11-30 14:32:11.684"
"38","56","SAD","55.600513","CALM","30.131466","Male","75.7456","false","92.89217","false","98.08889","false","75.03878784179688","false","94.67472","2021-11-28 13:45:25.341"
"10","20","HAPPY","99.247955","SURPRISED","0.25860342","Male","98.35013","true","97.27045","true","79.20057","false","64.64556121826172","false","97.95453","2021-11-28 13:41:46.596"
"10","20","CALM","76.07528","SURPRISED","17.99658","Female","99.81533","false","97.756996","false","97.50879","false","99.70458221435547","false","99.89037","2021-11-30 14:32:11.684"
"10","18","SAD","65.81881","DISGUSTED","27.510033","Male","99.942604","false","87.016556","false","66.503","false","80.65203094482422","false","93.826675","2022-03-04 14:25:09.609"
"17","29","HAPPY","99.4782","SURPRISED","0.14204514","Female","98.68071","true","99.67159","false","98.11188","false","98.77642059326172","false","99.62729","2021-11-30 14:32:11.684"
"18","30","CALM","53.17443","HAPPY","35.701805","Female","55.907665","false","76.5736","false","99.20332","false","84.59839630126953","false","97.55089","2021-11-28 14:19:50.685"
"11","19","SAD","73.21253","CALM","19.828808","Female","56.23532","false","94.74699","false","61.18834","false","83.56063079833984","false","93.351456","2022-04-01 15:53:56.491"
"12","22","SAD","52.959232","CALM","45.43277","Male","55.460052","false","97.72241","false","84.12065","false","82.68245697021484","false","97.21489","2021-11-28 14:18:53.467"
"5","15","HAPPY","55.194958","CALM","30.612648","Female","63.51921","false","58.277668","true","89.953026","false","95.51912689208984","false","98.79546","2021-11-28 13:41:28.800"
"13","21","SURPRISED","99.92544","FEAR","0.028564466","Male","96.73512","false","79.17513","true","62.76307","false","77.2216796875","false","93.21424","2022-04-12 13:47:58.410"
"4","10","SAD","78.827385","CALM","14.356491","Female","71.37951","false","89.75109","false","98.25552","false","89.873046875","false","96.558716","2022-04-01 15:53:56.491"
"22","34","HAPPY","99.32636","CALM","0.14612193","Female","55.44777","true","96.93701","false","99.35383","false","91.57559204101562","false","98.59631","2021-11-28 14:29:30.126"
"18","26","HAPPY","99.61416","SURPRISED","6.290498","Female","99.64029","true","96.360306","false","97.64893","false","96.20068359375","false","98.577576","2022-05-13 13:54:28.534"
"7","17","HAPPY","99.5331","CALM","0.12809403","Female","99.98407","true","96.50171","false","89.785995","false","92.61766815185547","false","98.04577","2022-03-04 14:23:32.419"
"18","26","HAPPY","57.541286","CALM","23.058186","Female","99.99699","false","64.19022","false","98.832634","false","93.61615753173828","false","97.6761","2022-02-16 09:17:21.989"
"39","57","HAPPY","99.702545","CALM","0.1337755","Female","99.86432","true","97.207985","true","97.49726","false","99.44479370117188","false","99.82405","2021-11-29 13:13:54.281"
"23","33","CALM","98.48059","SURPRISED","0.3561601","Female","95.04203","false","97.21062","false","98.75057","false","90.20455169677734","false","97.717094","2022-04-15 13:48:28.588"
"13","21","HAPPY","56.83863","CALM","22.272999","Male","99.486404","false","55.589867","false","99.7917","false","95.68441009521484","false","98.9698","2022-03-04 14:29:14.348"
"22","34","CALM","57.29131","HAPPY","11.613756","Male","78.91103","false","90.57008","true","83.75188","false","87.06539154052734","false","97.88725","2021-11-28 14:17:16.587"
"16","24","HAPPY","99.84812","FEAR","0.044822432","Male","98.630424","true","98.678474","false","99.75236","false","96.30052185058594","false","99.12922","2022-02-14 17:38:17.907"
"13","23","CALM","46.06926","HAPPY","31.614212","Male","75.44412","false","65.06541","true","73.66272","false","92.06350708007812","false","97.57234","2021-11-28 13:28:59.483"
"7","17","CALM","99.64042","SAD","0.32541397","Female","99.991455","false","99.335464","false","99.76744","false","95.22785949707031","false","98.74951","2022-01-24 16:52:59.200"
"18","30","FEAR","40.507637","SAD","34.28577","Female","97.7189","false","98.29603","false","60.1705","false","98.3094253540039","false","99.431656","2021-11-28 14:22:08.741"
"12","22","CALM","89.96215","ANGRY","3.6182106","Female","81.21304","false","93.58292","false","96.61948","false","95.04873657226562","false","98.39051","2021-11-28 14:17:37.323"
